# removed from sbzr.extended.common.dict.yaml by optimize_dedup_scan.py --apply
# word	code	weight	original_lineno
书记啊	sujiva	708	825
末日啊	moriva	708	827
征关税	zggrsv	707	834
鲜嫩啊	xmnfva	707	836
此数据	cisuju	706	844
余三胜	yusjsg	704	861
余延寿	yuyjsb	704	862
处置了	cuzile	704	863
换现金	hrxmjn	702	881
易武茶	yiwuca	702	882
离西安	lixivj	702	883
里西安	lixivj	702	885
金祖淳	jnzucp	702	886
被退市	bztvsi	701	892
西安后	xivjhb	700	898
雪碧哥	xtbige	700	899
上优酷	shybku	699	905
制片组	zipmzu	699	906
板凳儿	bjdgvr	699	908
渔安苑	yuvjyr	699	909
全集啊	qrjiva	696	929
人精神	rfjysf	694	949
张桂英	zhgvyy	694	950
未立案	wzlivj	694	951
陈向东	cfxdds	694	952
韦礼安	wzlivj	694	953
之极啊	zijiva	693	957
你就剩	nijqsg	693	959
德里安	delivj	693	961
泰希奥	tlxivk	693	963
至极啊	zijiva	693	964
问我们	wfwomf	692	968
可倒摆	kedkbl	691	979
西安吧	xivjba	690	990
我姑姑	wogugu	689	999
详细啊	xdxiva	689	1000
饥饿值	jivezi	687	1018
冯珊珊	fgsjsj	686	1029
可诱发	keybfa	686	1030
西安城	xivjcg	686	1031
比安米	bivjmi	685	1043
超级啊	ckjiva	685	1044
一根绳	yigfsg	684	1049
一下子	yixwzi	683	1062
你暗中	nivjzs	683	1064
西安局	xivjju	683	1066
角逐出	jczucu	683	1067
你安心	nivjxn	682	1075
机械羊	jixxyh	682	1077
注意好	zuyihk	682	1078
王世杰	whsijx	682	1079
几级啊	jijiva	681	1092
孙宇晨	spyucf	681	1093
急急啊	jijiva	681	1095
积极啊	jijiva	681	1096
胡利安	hulivj	681	1097
胡里安	hulivj	681	1098
徐云龙	xuypls	680	1107
有点子	ybdmzi	680	1108
塔甘恰	tagjqw	678	1131
帝奥斯	divksi	678	1133
迪奥斯	divksi	678	1134
刘玉玲	lqyuly	677	1142
紧急啊	jnjiva	677	1144
至西安	zixivj	677	1145
预安装	yuvjzd	677	1146
为快吧	wzkyba	676	1151
利安人	livjrf	676	1153
我更好	wogghk	676	1154
集安全	jivjqr	676	1156
力量啊	lildva	675	1170
腹肌啊	fujiva	674	1181
于里昂	yulivh	673	1195
已改作	yiglzo	673	1197
查余额	cayuve	673	1198
班列特	bjlxte	673	1199
野甘草	yegjck	673	1200
开光明	klgdmy	672	1215
我不丑	wobucb	672	1217
我出丑	wocucb	672	1218
已付费	yifufz	671	1228
张春贤	zhcpxm	671	1229
打商量	dashld	671	1230
每一节	mzyijx	671	1231
盐海子	yjhlzi	671	1232
伊里安	yilivj	670	1239
冯志明	fgzimy	670	1241
宣传机	xrcrji	670	1243
迷糊睡	mihusv	670	1245
在其它	zlqita	669	1261
练级啊	lmjiva	669	1264
新生社	xnsgse	668	1270
爽到爆	sddkbk	668	1272
老几啊	lkjiva	668	1274
多想啊	doxdva	667	1283
徐和谊	xuheyi	667	1284
王晓东	whxcds	667	1287
考生数	kksgsu	667	1288
资本税	zibfsv	667	1289
余额时	yuvesi	666	1298
刘大伟	lqdawz	666	1299
在一般	zlyibj	666	1300
我翘课	woqcke	666	1302
网文界	whwfjx	666	1303
郭金龙	gojnls	666	1304
比安科	bivjke	665	1315
一样在	yiyhzl	664	1326
不爱睡	buvlsv	664	1327
他精神	tajysf	664	1328
你安分	nivjff	664	1329
西安话	xivjhw	664	1331
他架子	tajwzi	663	1337
海岛吧	hldkba	662	1349
添添春	tmtmcp	662	1350
甲半月	jwbjyt	662	1351
于成山	yucgsj	661	1356
你安好	nivjhk	661	1357
总会计	zshvji	661	1359
混帐门	hpzhmf	661	1360
白费蜡	blfzla	661	1361
那块吧	nakyba	661	1362
他平生	tapysg	660	1375
陈欣怡	cfxnyi	659	1387
他就疼	tajqtg	658	1398
效益吧	xcyiba	658	1399
一月初	yiytcu	657	1414
你按时	nivjsi	657	1415
你暗示	nivjsi	657	1416
及图纸	jituzi	657	1417
祝玉妍	zuyuyj	657	1419
继续找	jixuzk	657	1420
净产出	jycjcu	656	1428
低苦艾	dikuvl	655	1442
哪里吃	nalici	655	1445
好做吗	hkzoma	655	1446
小三八	xcsjba	655	1448
我台湾	wotlwj	655	1449
在吉安	zljivj	654	1466
在集安	zljivj	654	1467
老虎啊	lkhuva	654	1469
起按时	qivjsi	654	1470
我腹部	wofubu	653	1480
我输不	wosubu	653	1481
西安来	xivjll	653	1483
舆服志	yufuzi	652	1494
新疆梦	xnjdmg	651	1506
老婆家	lkpojw	651	1507
雷速登	lzsudg	651	1508
世纪啊	sijiva	650	1516
升龙城	sglscg	650	1517
实际啊	sijiva	650	1519
时机啊	sijiva	650	1520
那就生	najqsg	650	1522
王小平	whxcpy	649	1536
踩踩踩	clclcl	649	1537
陈柏宇	cfblyu	649	1538
他借的	tajxde	648	1549
大肚城	daducg	648	1551
往外拉	whwlla	648	1553
华严疏	hwyjsu	647	1560
心坎上	xnkjsh	647	1561
初参数	cucjsu	646	1577
把你按	banivj	646	1578
走线架	zbxmjw	646	1579
五感图	wugjtu	645	1587
大事时	dasisi	645	1589
打底霜	dadisd	645	1590
有定处	ybdycu	645	1591
精灵吧	jylyba	645	1593
警令部	jylybu	645	1595
金字沙	jnzisa	645	1596
反一号	fjyihk	644	1611
将备考	jdbzkk	644	1612
希里安	xilivj	643	1631
文武砂	wfwusa	643	1633
陈昌浩	cfchhk	643	1635
何须更	hexugg	642	1642
哪一套	nayitk	642	1643
想学吗	xdxtma	642	1647
把余额	bayuve	642	1648
最大党	zvdadh	642	1649
湖岸上	huvjsh	642	1650
去安吉	quvjji	641	1666
莫拉菲	molafz	641	1670
于西安	yuxivj	640	1679
但精神	djjysf	640	1680
作弊案	zobivj	640	1681
李晓明	lixcmy	640	1683
大喜啊	daxiva	639	1697
大戏啊	daxiva	639	1698
零件数	lyjmsu	639	1700
后评吧	hbpyba	638	1716
将不知	jdbuzi	638	1718
小林村	xclncp	638	1719
一下澡	yixwzk	637	1728
一根根	yigfgf	637	1729
今西安	jnxivj	637	1730
他娘不	tandbu	637	1731
关机啊	grjiva	637	1732
更安静	ggvjjy	637	1738
但建造	djjmzk	636	1755
就西安	jqxivj	636	1756
打手游	dasbyb	636	1757
围棋会	wzqihv	635	1771
暂停时	zjtysi	635	1777
猩猩兽	xyxysb	635	1778
看光光	kjgdgd	635	1779
被推出	bztvcu	635	1780
韦利河	wzlihe	635	1781
在山城	zlsjcg	634	1799
坎培拉	kjpzla	634	1800
已翻译	yifjyi	634	1802
陈永信	cfysxn	634	1805
膜隔热	mogere	633	1818
客户啊	kehuva	632	1831
想你啦	xdnila	632	1832
明星奖	myxyjd	632	1833
明星家	myxyjw	632	1834
西安舰	xivjjm	632	1835
西安见	xivjjm	632	1836
和西安	hexivj	631	1851
李秀玲	lixqly	631	1852
杰里安	jxlivj	631	1853
经济啊	jyjiva	631	1855
迪奥罗	divklo	631	1856
下西安	xwxivj	630	1869
利利安	lilivj	630	1870
明清时	myqysi	630	1871
胡安德	huvjde	630	1872
胡阿姨	huvayi	630	1873
醒酒茶	xyjqca	630	1875
饥饿了	jivele	630	1876
不敢请	bugjqy	629	1887
大融城	darscg	629	1889
王浩宇	whhkyu	629	1891
从兰登	csljdg	628	1905
会导入	hvdkru	628	1906
将水壶	jdsvhu	628	1907
论城市	lpcgsi	628	1908
张旭东	zhxuds	627	1919
李耐阅	linlyt	627	1920
由精神	ybjysf	627	1921
一下了	yixwle	626	1934
史介翁	sijxwg	626	1935
介入后	jxruhb	625	1948
但文件	djwfjm	625	1949
大负荷	dafuhe	625	1950
比西安	bixivj	625	1951
田智和	tmzihe	625	1952
皇姑庵	hdguvj	625	1953
他以为	tayiwz	624	1965
你五一	niwuyi	624	1966
徐晓东	xuxcds	624	1967
十三省	sisjsg	623	1987
朱利奥	zulivk	623	1988
郑永年	zgysnm	623	1989
他并把	tabyba	622	2002
卢森堡	lusfbk	622	2003
蒋昌义	jdchyi	622	2009
颜大怒	yjdanu	622	2010
一块睡	yikysv	620	2032
一百丈	yiblzh	620	2033
固安的	guvjde	620	2035
徐茂栋	xumkds	620	2036
与饿了	yuvele	619	2045
及山西	jisjxi	619	2046
柯基啊	kejiva	619	2048
科技啊	kejiva	619	2050
商户啊	shhuva	618	2068
按余额	vjyuve	618	2071
直接选	zijxxr	618	2074
该随机	glsvji	618	2075
不敢定	bugjdy	617	2086
中角荣	zsjcrs	617	2087
十三一	sisjyi	617	2090
实验用	siyjys	617	2091
激情吧	jiqyba	617	2092
郑丽丽	zglili	617	2095
风电机	fgdmji	617	2096
小木耳	xcmuvr	616	2116
谢尔宾	xxvrbn	616	2118
上百遍	shblbm	615	2135
伪倾角	wzqyjc	615	2136
光与暗	gdyuvj	615	2139
实习啊	sixiva	615	2143
拍戏啊	plxiva	615	2144
神技啊	sfjiva	615	2147
补光用	bugdys	615	2148
你建造	nijmzk	614	2157
利安德	livjde	614	2158
去扮演	qubjyj	614	2159
把腹部	bafubu	614	2161
